Sl,DATE,CSUSHPISA,Year,Month,capita_GDP,Working_age_pop,Houses,CPI,median_income,Subsidy,Num_Households,EmpRate,UNRATE,Cons_material,FEDFUNDS,urban_pop_us,old_age_pop
1,2003-01-01,128.461,2003,1,50462,185635346.4,4,182.6,65860,25.93,111278,71.5898308,5.8,144.4,1.01,79.6,12.3
2,2003-02-01,129.355,2003,2,50462,185869692.3,4.5,183.6,65860,25.93,111278,71.5214305,5.9,145.2,1.01,79.6,12.3
3,2003-03-01,130.148,2003,3,50462,186085118.2,4.1,183.9,65860,25.93,111278,71.3975667,5.9,145.2,1.01,79.6,12.3
4,2003-04-01,130.884,2003,4,50796,186470754,4.1,183.2,65860,25.93,111278,71.377392,6,145.9,1.01,79.6,12.3
5,2003-05-01,131.735,2003,5,50796,186649078,3.9,182.9,65860,25.93,111278,71.2130672,6.1,145.8,1.01,79.6,12.3
6,2003-06-01,132.649,2003,6,50796,186800679.6,3.5,183.1,65860,25.93,111278,71.2150311,6.3,146.1,1.01,79.6,12.3
7,2003-07-01,133.777,2003,7,51512,187066500.3,3.6,183.7,65860,25.93,111278,70.9894875,6.2,147,1.01,79.6,12.3
8,2003-08-01,134.969,2003,8,51512,187304009.5,3.5,184.5,65860,25.93,111278,71.0034032,6.1,147.2,1.03,79.6,12.3
9,2003-09-01,136.294,2003,9,51512,187538981.3,3.8,185.1,65860,25.93,111278,70.9197284,6.1,149,1.01,79.6,12.3
10,2003-10-01,137.531,2003,10,51986,187738514.8,3.8,184.9,65860,25.93,111278,71.0564642,6,149.6,1.01,79.6,12.3
11,2003-11-01,138.794,2003,11,51986,187972351.6,4.1,185,65860,25.93,111278,71.1383936,5.8,150.2,1,79.6,12.3
12,2003-12-01,140.179,2003,12,51986,188136094.9,4,185.5,65860,25.93,111278,71.1176271,5.7,149.7,0.98,79.6,12.3
13,2004-01-01,141.646,2004,1,52179,187688839.5,3.8,186.3,65760,27.201,112000,71.2786515,5.7,150,1,79.8,12.3
14,2004-02-01,143.192,2004,2,52179,187876003,3.7,186.7,65760,27.201,112000,71.2096565,5.6,153.4,1.01,79.8,12.3
15,2004-03-01,145.059,2004,3,52179,188058175.6,3.6,187.1,65760,27.201,112000,71.0496156,5.8,156.5,1,79.8,12.3
16,2004-04-01,146.593,2004,4,52469,188320660.9,4,187.4,65760,27.201,112000,71.1815859,5.6,160.1,1,79.8,12.3
17,2004-05-01,148.186,2004,5,52469,188475226.1,3.8,188.2,65760,27.201,112000,71.1321322,5.6,162.7,1,79.8,12.3
18,2004-06-01,149.85,2004,6,52469,188689296.3,3.9,188.9,65760,27.201,112000,71.1064223,5.6,162,1.03,79.8,12.3
19,2004-07-01,151.338,2004,7,52835,188839779.7,4.5,189.1,65760,27.201,112000,71.3043501,5.5,162.2,1.26,79.8,12.3
20,2004-08-01,152.633,2004,8,52835,189070874.2,4.3,189.2,65760,27.201,112000,71.2649446,5.4,165.9,1.43,79.8,12.3
21,2004-09-01,154.179,2004,9,52835,189216972.4,4.1,189.8,65760,27.201,112000,71.1524423,5.4,167.2,1.61,79.8,12.3
22,2004-10-01,155.75,2004,10,53242,189444451,3.9,190.8,65760,27.201,112000,71.2243362,5.5,165.9,1.76,79.8,12.3
23,2004-11-01,157.527,2004,11,53242,189655307.8,4.3,191.7,65760,27.201,112000,71.3632474,5.4,165.5,1.93,79.8,12.3
24,2004-12-01,159.33,2004,12,53242,189811053.4,4.1,191.7,65760,27.201,112000,71.2996944,5.4,166.3,2.16,79.8,12.3
25,2005-01-01,161.288,2005,1,53719,189990144.5,4.4,191.6,66780,27.651,113343,71.310242,5.3,168.6,2.28,79.9,12.4
26,2005-02-01,163.344,2005,2,53719,190144602.9,4.3,192.4,66780,27.651,113343,71.2243609,5.4,170.4,2.5,79.9,12.4
27,2005-03-01,165.812,2005,3,53719,190460726.5,4.1,193.1,66780,27.651,113343,71.2653349,5.2,170,2.63,79.9,12.4
28,2005-04-01,167.501,2005,4,53868,190466075.8,4.3,193.7,66780,27.651,113343,71.4366368,5.2,170,2.79,79.9,12.4
29,2005-05-01,169.351,2005,5,53868,190709890.6,4.2,193.6,66780,27.651,113343,71.5286189,5.1,168.1,3,79.9,12.4
30,2005-06-01,171.19,2005,6,53868,190962474.6,4.3,193.7,66780,27.651,113343,71.4943496,5,167.8,3.04,79.9,12.4
31,2005-07-01,172.86,2005,7,54153,191114390,4.2,194.9,66780,27.651,113343,71.6283103,5,167.2,3.26,79.9,12.4
32,2005-08-01,174.442,2005,8,54153,191266452.9,4.5,196.1,66780,27.651,113343,71.8245413,4.9,165.9,3.5,79.9,12.4
33,2005-09-01,176.438,2005,9,54153,191438220.9,4.7,198.8,66780,27.651,113343,71.6872178,5,168.9,3.62,79.9,12.4
34,2005-10-01,178.028,2005,10,54317,191655197.5,4.5,199.1,66780,27.651,113343,71.6939358,5,171.6,3.78,79.9,12.4
35,2005-11-01,179.68,2005,11,54317,191932856.8,5,198.1,66780,27.651,113343,71.5572693,5,172.7,4,79.9,12.4
